ID,agentName,agentType,description,status,capabilities,configuration,version,lastHeartbeat
1,data_analysis_agent,Analyzer,MCP-compliant STRANDS agent for statistical analysis and data quality validation,ACTIVE,"{""validate_data_quality"": true, ""analyze_data_distribution"": true, ""compute_correlation_matrix"": true, ""detect_outliers"": true, ""compute_rolling_statistics"": true}","{""cds_base_url"": ""http://localhost:4005"", ""ai_cache_ttl"": 300, ""grok4_enabled"": true}",1.0.0,2025-08-30T18:47:00.000Z
2,ml_agent,MLPredictor,Machine Learning STRAND Agent with cryptocurrency price prediction capabilities,ACTIVE,"{""predict_price"": true, ""train_model"": true, ""evaluate_model"": true, ""get_feature_importance"": true, ""batch_predict"": true, ""get_model_status"": true}","{""default_symbols"": [""BTC"", ""ETH"", ""BNB"", ""SOL"", ""ADA""], ""prediction_horizons"": [""1h"", ""24h"", ""7d""], ""model_types"": [""ensemble"", ""neural_network"", ""random_forest""], ""auto_retrain"": true, ""retrain_interval_hours"": 24, ""min_confidence_threshold"": 0.7}",1.2.0,2025-08-30T18:46:45.000Z
3,trading_strategy_agent,StrategyExecutor,A2A-Compliant Trading Strategy Agent with advanced mathematical algorithms,ACTIVE,"{""gaussian_mean_reversion"": true, ""kalman_filter_trend"": true, ""statistical_arbitrage"": true, ""cointegration_analysis"": true, ""pairs_trading"": true, ""multi_agent_consensus"": true}","{""ai_enhancement"": true, ""mcts_optimization"": true, ""blockchain_messaging"": true, ""cross_agent_consensus"": true}",1.5.0,2025-08-30T18:46:30.000Z
4,trading_algorithm_agent,SignalGenerator,Trading strategy analysis and signal generation with 10 different strategies,ACTIVE,"{""grid_trading"": true, ""dollar_cost_averaging"": true, ""arbitrage"": true, ""momentum_trend"": true, ""mean_reversion"": true, ""scalping"": true, ""market_making"": true, ""breakout_trading"": true, ""ml_predictive"": true, ""multi_strategy_hybrid"": true}","{""signal_only_mode"": true, ""grok4_analysis"": true, ""real_data_provider"": true}",1.3.0,2025-08-30T18:46:15.000Z
5,technical_analysis_agent,TechnicalAnalyzer,Comprehensive crypto trading technical analysis agent with 8 specialized TA skills,ACTIVE,"{""momentum_indicators"": true, ""momentum_volatility"": true, ""volume_analysis"": true, ""support_resistance"": true, ""chart_patterns"": true, ""harmonic_patterns"": true, ""comprehensive_system"": true, ""dashboard"": true, ""visualization"": true, ""grok_insights"": true}","{""a2a_registered_id"": ""technical_analysis_agent"", ""grok4_enabled"": true, ""strand_framework"": true}",1.4.0,2025-08-30T18:46:00.000Z
6,news_collection_agent,NewsCollector,STRANDS agent for news collection using Perplexity AI API with historical data links,ACTIVE,"{""collect_news"": true, ""sentiment_analysis"": true, ""market_correlation"": true, ""perplexity_integration"": true}","{""perplexity_api"": true, ""sentiment_scoring"": true, ""relevance_analysis"": true, ""impact_assessment"": true}",1.1.0,2025-08-30T18:45:45.000Z
7,feature_store_agent,FeatureEngineer,STRANDS agent for ML feature engineering and computation with CDS integration,ACTIVE,"{""feature_engineering"": true, ""feature_computation"": true, ""feature_storage"": true, ""feature_retrieval"": true, ""cds_integration"": true}","{""cds_transactional"": true, ""enhanced_monitoring"": true, ""transaction_isolation"": ""READ_COMMITTED""}",1.2.0,2025-08-30T18:45:30.000Z
8,news_correlation_agent,NewsAnalyzer,Agent for analyzing correlations between news events and market movements,ACTIVE,"{""news_correlation"": true, ""market_impact_analysis"": true, ""sentiment_correlation"": true, ""event_detection"": true}","{""correlation_window"": 24, ""impact_threshold"": 0.05, ""sentiment_weight"": 0.3}",1.0.0,2025-08-30T18:45:15.000Z
9,mcts_calculation_agent,MCTSCalculator,Monte Carlo Tree Search calculation agent for advanced decision making,ACTIVE,"{""mcts_calculation"": true, ""decision_tree_analysis"": true, ""monte_carlo_simulation"": true, ""optimization"": true}","{""simulation_runs"": 10000, ""exploration_constant"": 1.414, ""max_depth"": 50}",1.1.0,2025-08-30T18:45:00.000Z
10,aws_data_exchange_agent,DataExchanger,Agent for AWS Data Exchange integration and external data sourcing,ACTIVE,"{""aws_data_exchange"": true, ""external_data_sourcing"": true, ""data_subscription"": true, ""data_validation"": true}","{""aws_region"": ""us-east-1"", ""data_refresh_interval"": 3600, ""validation_enabled"": true}",1.0.0,2025-08-30T18:44:45.000Z
11,strands_glean_agent,KnowledgeRetriever,STRANDS agent for knowledge retrieval and information processing,ACTIVE,"{""knowledge_retrieval"": true, ""information_processing"": true, ""context_analysis"": true, ""semantic_search"": true}","{""glean_integration"": true, ""semantic_indexing"": true, ""context_window"": 4096}",1.0.0,2025-08-30T18:44:30.000Z
12,modular_strands_agent,ModularOrchestrator,Modular STRANDS agent for orchestrating multiple agent capabilities,ACTIVE,"{""agent_orchestration"": true, ""modular_execution"": true, ""capability_routing"": true, ""load_balancing"": true}","{""max_concurrent_agents"": 10, ""routing_strategy"": ""round_robin"", ""health_check_interval"": 30}",1.0.0,2025-08-30T18:44:15.000Z
13,agent_manager,AgentLifecycleManager,Central agent manager for lifecycle management and coordination,ACTIVE,"{""agent_lifecycle"": true, ""health_monitoring"": true, ""resource_management"": true, ""coordination"": true}","{""health_check_interval"": 60, ""restart_policy"": ""on_failure"", ""max_restarts"": 3}",1.0.0,2025-08-30T18:44:00.000Z
14,real_ml_agent,RealMLProcessor,Real-time ML processing agent with production-grade capabilities,ACTIVE,"{""real_time_ml"": true, ""model_serving"": true, ""inference_optimization"": true, ""model_monitoring"": true}","{""inference_timeout"": 5000, ""batch_size"": 32, ""model_cache_size"": 1000}",1.0.0,2025-08-30T18:43:45.000Z
15,news_intelligence_agent,NewsIntelligence,Advanced news intelligence agent with sentiment and impact analysis,ACTIVE,"{""news_intelligence"": true, ""sentiment_analysis"": true, ""impact_prediction"": true, ""trend_analysis"": true}","{""sentiment_model"": ""transformer"", ""impact_threshold"": 0.1, ""trend_window"": 168}",1.0.0,2025-08-30T18:43:30.000Z
